Your comment line - do NOT delete this line
Col 0: X-pos [m]
Col 1: Y-pos [m]
Col 2: Voltage [V]
Col 3: Time [sec]

Col 0		Col 1		Col 2		Col 3
0.0		-1.99e-05		-4.99193e-07		2.7387893199920654
2.4999999999999998e-05		-1.99e-05		1.26661e-07		4.019169569015503
4.9999999999999996e-05		-1.99e-05		2.90574e-07		5.309074401855469
7.5e-05		-1.99e-05		-3.87432e-07		6.590172290802002
9.999999999999999e-05		-1.99e-05		-1.86265e-07		7.892870187759399
9.999999999999999e-05		-9.999999999999999e-06		1.49013e-08		9.454003095626831
7.5e-05		-9.999999999999999e-06		5.28995e-07		10.74326777458191
4.9999999999999996e-05		-9.999999999999999e-06		3.87432e-07		12.033812284469604
2.4999999999999998e-05		-9.999999999999999e-06		-7.45063e-08		13.320045709609985
0.0		-9.999999999999999e-06		-3.20377e-07		14.589559316635132
0.0		0.0		1.78815e-07		16.147436380386353
2.4999999999999998e-05		0.0		2.23519e-08		17.431694269180298
4.9999999999999996e-05		0.0		1.04309e-07		18.731388568878174
7.5e-05		0.0		-5.96051e-08		20.012877702713013
9.999999999999999e-05		0.0		3.05476e-07		21.296736240386963
9.999999999999999e-05		9.999999999999999e-06		2.90574e-07		22.878560543060303
7.5e-05		9.999999999999999e-06		2.68223e-07		24.15873622894287
4.9999999999999996e-05		9.999999999999999e-06		3.94883e-07		25.433926343917847
2.4999999999999998e-05		9.999999999999999e-06		-1.11759e-07		26.727227210998535
0.0		9.999999999999999e-06		3.72531e-08		28.001270294189453
0.0		1.9999999999999998e-05		-8.19568e-07		29.571656227111816
2.4999999999999998e-05		1.9999999999999998e-05		6.25852e-07		30.86880397796631
4.9999999999999996e-05		1.9999999999999998e-05		1.04309e-07		32.15588307380676
7.5e-05		1.9999999999999998e-05		1.41562e-07		33.43644690513611
9.999999999999999e-05		1.9999999999999998e-05		-8.12117e-07		34.71984052658081
