Your comment line - do NOT delete this line
Col 0: Axis index
Col 1: S_path [m]
Col 2: Max voltage X-pos[m]
Col 3: Max voltage Y-pos[m]
Col 4: Max voltage [V]
Col 5: Full width half maximum (FWHM) [m]

Col 0	Col 1	Col 2	Col 3	Col 4	Col 5
0	0	5e-05	-1.99e-05	2.90574e-07	3.10070816738e-05
0	0.0	5e-05	-1.99e-05	2.90574e-07	3.10070816738e-05
1	2.68888452709e-05	7.5e-05	-1e-05	5.28995e-07	4.94516771714e-05
0	0.0	5e-05	-1.99e-05	2.90574e-07	3.10070816738e-05
1	2.68888051217e-05	7.5e-05	-1e-05	5.28995e-07	4.94516771714e-05
2	5.38145891e-05	0.0001	0.0	3.05476e-07	9.4264854887e-05
0	0.0	5e-05	-1.99e-05	2.90574e-07	3.10070816738e-05
1	2.5859375098e-05	7.5e-05	-1e-05	5.28995e-07	4.94516771714e-05
2	5.17286783942e-05	0.0001	0.0	3.05476e-07	9.4264854887e-05
3	0.000100488825518	5e-05	1e-05	3.94883e-07	0
0	0.0	5e-05	-1.99e-05	2.90574e-07	3.10070816738e-05
1	2.10601359576e-05	7.5e-05	-1e-05	5.28995e-07	4.94516771714e-05
2	4.20913032231e-05	0.0001	0.0	3.05476e-07	9.4264854887e-05
3	9.28442453949e-05	5e-05	1e-05	3.94883e-07	0
4	0.000119669151088	2.5e-05	2e-05	6.25852e-07	2.88888487443e-05
